album_id,name,artist,no_tracks,release_date,popularity,genres
Lnizwb109AR,Shoot For The Stars Aim For The Moon,Aglqof902EJ,19,2020-07-03 00:00:00,88,[]
Lguueu903JP,Escape,Ahtaxj045PB,14,1981-01-01 00:00:00,77,[]
Lkoing572SJ,Legends Never Die,Agxoxj358CJ,21,2020-07-10 00:00:00,5,[]
Lzubws130TB,Pray 4 Love,Aqambh110QF,14,2020-04-03 00:00:00,41,[]
Ltevkh363SU,Monster - The 1st Mini Album,Ajmmgn865UO,5,2020-07-06 00:00:00,64,[]
Lrgfad169SU,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,Arottg631PO,13,2020-07-14 00:00:00,75,[]
Lpzthg371GO,Fallin',Akdjes767XR,7,2020-07-17 00:00:00,51,[]
Lbrhtu181HO,El Androide,Avxxjp562LF,20,2020-05-15 00:00:00,68,[]
Lacwrk800KG,folklore,Ajnqvy441TG,16,2020-07-24 00:00:00,87,[]
Lvdtbu255DG,Now Or Never,Avdygh385PX,18,2020-07-24 00:00:00,69,[]
Leevds950RE,Atrevido,Awjpjv305GT,10,2020-07-23 00:00:00,2,[]
Lhvkaw991IF,F*CK LOVE,Abicro618UA,15,2020-07-24 00:00:00,78,[]
Lmoeud655SU,Lewis Street,Avvnhp072IS,2,2020-07-22 00:00:00,63,[]
Lqfclc449ID,No Pressure,Awaqqn203RN,15,2020-07-24 00:00:00,70,[]
Ltsgek161XX,Midnight Memories (Deluxe),Ancmoa917TQ,18,2013-11-25 00:00:00,84,[]
Liodrf428OX,Treppenhaus,Aozrai248TI,12,2020-07-31 00:00:00,65,[]
Lwetxh744YR,Dopamine,Abpoer865YK,11,2015-10-16 00:00:00,79,[]
Lzfsav755YQ,BLAME IT ON BABY (DELUXE),Adfswq621OR,24,2020-08-04 00:00:00,72,[]
Lqzmdr297EZ,Top Shotta,Asuqsq097RK,20,2020-08-07 00:00:00,0,[]
Lwqnit335MT,Euphoria (Original Score from the HBO Series),Ajgxne659DY,26,2019-10-04 00:00:00,82,[]
Lsqcjr107NB,Viva el Perreo,Awzzrq094MY,14,2020-08-06 00:00:00,68,[]
Lvpjmu858RC,Pray 4 Love (Deluxe),Aqambh110QF,25,2020-08-07 00:00:00,42,[]
Ljheej768CW,"good kid, m.A.A.d city",Aedsuk032TQ,13,2012-01-01 00:00:00,74,[]
Lgdpwz644EX,Where The Shadow Ends,Aqefqw812QV,12,2019-10-04 00:00:00,74,[]
Lkgfir911FW,KitschKrieg,Axiqjr724AH,12,2020-08-07 00:00:00,67,[]
Lnppih248VR,The Time Of Our Lives (International Version),Agozci438NR,8,2009-01-01 00:00:00,78,[]
Lexuit177WY,Dynamite,Arottg631PO,2,2020-08-21 00:00:00,1,[]
Layvsm165BY,PAPI JUANCHO,Aljgsw978BP,22,2020-08-21 00:00:00,81,[]
Lghghr247DH,Not Shy,Axtglg096JY,6,2020-08-17 00:00:00,68,[]
Lkobng539ZC,DI LETRA,Atxtyp804KT,9,2020-04-03 00:00:00,69,[]
Lequat537YA,everything means nothing,Ambjdd541JR,12,2020-08-21 00:00:00,60,[]
Lbvhvk796ZD,Dynamite (DayTime Version),Arottg631PO,6,2020-08-28 00:00:00,70,[]
Lgigej692FG,B4 The Storm,Ajaocs394BA,17,2020-08-29 00:00:00,68,[]
Lcdnfi712WE,Smile,Anbnnh698MB,12,2020-08-28 00:00:00,52,[]
Lhokod068VA,I Love You.,Afyaxx183FL,11,2013-04-19 00:00:00,85,[]
Ldanci795FZ,Enoc,Akmfcf543VU,20,2020-09-04 00:00:00,81,[]
Lecvqb235IH,NAKAMURA (Deluxe Edition),Agzqwo232BF,19,2019-10-25 00:00:00,56,[]
Lnkpwz588ZC,Detroit 2,Aovfdm862YT,21,2020-09-04 00:00:00,75,[]
Leydsb745JO,TattleTales,Acjugn064JG,13,2020-09-04 00:00:00,68,[]
Lkhvfo324YG,Shoot For The Stars Aim For The Moon (Deluxe),Aglqof902EJ,34,2020-07-20 00:00:00,81,[]
Lahzdj827YS,Jerusalema,Alydsc545ZN,10,2020-01-24 00:00:00,70,[]
Liycga861XQ,For You,Akegnz757IA,13,2020-03-27 00:00:00,75,[]
Ldxbvl620RH,Máquina do Tempo,Addhxv539NS,7,2020-09-10 00:00:00,75,[]
Lrpotn253MQ,Hollywood,Abopzu106LE,13,2020-09-10 00:00:00,69,[]
Lukeiq369VA,Epidemic (Deluxe),Aqvdad455JD,20,2020-08-21 00:00:00,71,[]
Lnubeb173XD,Hozier,Aqheda833KW,13,2014-07-20 00:00:00,80,[]
Lypnpz370TY,THE ALBUM,Ajoqjc102NJ,8,2020-10-02 00:00:00,81,[]
Lszall161LD,SAVAGE MODE II,Aauack035RZ,15,2020-10-02 00:00:00,81,[]
Lanank171XV,Savage Love (Laxed - Siren Beat) [BTS Remix],Anvaiz798QD,2,2020-10-02 00:00:00,68,[]
Lfooot149TJ,Rumours (Super Deluxe),Ajyodv423RC,58,1977-02-04 00:00:00,83,[]
Lodvxp080ZA,Tickets To My Downfall,Acnmnj230EL,15,2020-09-25 00:00:00,84,[]
Liyjxp198VW,Heaven & Hell,Ayfppz567IR,15,2020-09-18 00:00:00,6,[]
Lmrumq708QF,A N N I V E R S A R Y,Aorkvk859CR,10,2020-10-02 00:00:00,70,[]
Lntgsy540ZH,Daisy,Alwkmp027PU,2,2020-07-09 00:00:00,68,[]
Lwctgp352MP,Immunity,Awkjxv369IC,11,2019-08-02 00:00:00,78,[]
Labmvl212BA,Heart Of Glass / Midnight Sky,Agozci438NR,2,2020-09-29 00:00:00,64,[]
Lpkjyu951BO,Nectar,Athsfw932GI,18,2020-09-24 00:00:00,71,[]
Lkbiil206KQ,Wiped Out!,Afyaxx183FL,11,2015-10-30 00:00:00,83,[]
Llhscx078VJ,13 Organisé,Ahunps785PO,13,2020-10-09 00:00:00,1,[]
Lxcgqx168GM,Pity Party,Arwotf590DO,12,2020-10-09 00:00:00,60,[]
Lmfebl552UE,Hybrid Theory (Bonus Edition),Ardzpi889GY,15,2000-10-24 00:00:00,83,[]
Lqmnmn516ES,(What's The Story) Morning Glory? [Remastered],Agpcqu584NJ,40,1995-10-02 00:00:00,76,[]
Lkencu103XW,Piseiro 2020 Ao Vivo,Ayuvpa478OV,15,2020-10-15 00:00:00,60,[]
Lgwxlb678FG,What You See Ain't Always What You Get (Deluxe Edition),Akvbtw125GX,23,2020-10-23 00:00:00,79,[]
Llmjzq674EL,Featuring Ty Dolla $ign,Amphup660JY,25,2020-10-23 00:00:00,75,[]
Lqtbet758GT,Eyes wide open,Ahynuk774XP,13,2020-10-26 00:00:00,59,[]
Lshdza142HT,Colour Vision,Asscpc901VQ,12,2020-09-18 00:00:00,64,[]
Lvrgcw236BQ,Loose,Awqpqn921LG,17,2006-01-01 00:00:00,82,[]
Lwylac312SV,21,Aryrlx767RG,11,2011-01-19 00:00:00,5,[]
Lkgvvi173MT,Positions,Apkgmp051IT,14,2020-10-30 00:00:00,88,[]
Ltjqqp180MF,Love Goes,Aypzvu717DW,17,2020-10-30 00:00:00,78,[]
Lqfsad344EF,Thriller 25 Super Deluxe Edition,Ajopyx388IG,30,1982-11-30 00:00:00,83,[]
Lllzcc179MF,Hollywood Uncut,Abopzu106LE,13,2020-10-29 00:00:00,2,[]
Lfqykv955KF,Highway to Hell,Asawjt705TH,10,1979-07-27 00:00:00,79,[]
Lsdvvw576OI,The Prelude,Ahqxda986OC,6,2020-07-17 00:00:00,72,[]
Lxzyiz230PR,F*CK LOVE (SAVAGE),Abicro618UA,22,2020-11-06 00:00:00,85,[]
Lqpqqm494ZT,Confetti,Acjdht646DY,13,2020-11-06 00:00:00,73,[]
Lbpznw457IB,LAST CHRISTMAS,Aowlbj593UN,3,1984-11-29 00:00:00,65,[]
Lmxpnq483IY,Afrodisíaco,Alhxdh200XJ,16,2020-11-13 00:00:00,80,[]
Ltuixc486CI,Pluto x Baby Pluto,Amvniq015JL,16,2020-11-13 00:00:00,74,[]
Lpgpsb047PN,Christmas,Akvcpy916LI,16,2011-10-14 00:00:00,58,[]
